id;name;type;lat;lng
333601;KABATY-STP;--;52.126520;21.065690
333701;WAŁBRZYSKA-CMENTARZ;--;52.173480;21.035890
333801;BACHA;--;52.169417;21.026156
333802;BACHA;--;52.170232;21.026585
333901;ŁADNA;BW;52.045194;20.951085
334002;GERBERA;PS;52.067370;21.027915
334201;OSMAŃSKA-DHL;--;52.150800;20.994810
334301;OSMAŃSKA;--;52.156280;20.995710
334303;OSMAŃSKA;--;52.155250;20.994570
334401;AGATOWA;JS;52.094967;21.032333
334402;AGATOWA;JS;52.095550;21.031640
334501;WILANOWSKA;JS;52.093540;21.037450
334601;KOMETY;JS;52.096378;21.040713
334602;KOMETY;JS;52.097260;21.041750
334701;MAGNOLII;JS;52.099300;21.044650
334702;MAGNOLII;JS;52.099590;21.044940
334801;KAMERALNA;JS;52.102190;21.049790
334802;KAMERALNA;JS;52.102470;21.050030
334902;XXI WIEKU;JS;52.094950;21.038970
335001;BĄKÓWKA;BW;52.040820;20.956000
335101;ROBERCIN;RE;52.048720;20.943630
335201;RUBINOWA;JS;52.098003;21.027706
335202;RUBINOWA;JS;52.098140;21.027670
335301;OŚ KRÓLEWSKA;--;52.164120;21.069850
335302;OŚ KRÓLEWSKA;--;52.165460;21.069880
335401;ŚWIĄTYNIA OPATRZNOŚCI BOŻEJ;--;52.159690;21.072670
335402;ŚWIĄTYNIA OPATRZNOŚCI BOŻEJ;--;52.161000;21.071860
335501;OS.GRAPA;KJ;52.087628;21.124387
335502;OS.GRAPA;KJ;52.086760;21.125475
335601;OD LASU;KJ;52.079134;21.132820
335602;OD LASU;KJ;52.079508;21.132616
335603;OD LASU;KJ;52.079402;21.133128
335701;ŁYCZYŃSKA;SY;52.063110;21.150838
335702;ŁYCZYŃSKA;SY;52.064297;21.149794
335801;SŁOMCZYN-SZKOŁA;SY;52.060869;21.159740
335802;SŁOMCZYN-SZKOŁA;SY;52.061545;21.152992
335901;JABŁONIOWA;SY;52.057129;21.159941
335902;JABŁONIOWA;SY;52.057784;21.158650
335903;JABŁONIOWA;SY;52.057750;21.159270
335904;JABŁONIOWA;SY;52.057218;21.158877
336001;TUROWICE;TU;52.050921;21.166960
336002;TUROWICE;TU;52.050419;21.167700
336101;KAWĘCZYN;XW;52.045997;21.172505
336102;KAWĘCZYN;XW;52.047358;21.170485
336201;KAWĘCZYN II;XW;52.038548;21.176637
336202;KAWĘCZYN II;XW;52.039241;21.176427
336301;BRZEŚCE;BZ;52.030060;21.184270
336302;BRZEŚCE;BZ;52.030123;21.184369
336401;WÓLKA ZAŁĘSKA;WR;52.011630;21.195260
336402;WÓLKA ZAŁĘSKA;WR;52.012222;21.195196
336501;KU SŁOŃCU;MX;52.002628;21.197290
336502;KU SŁOŃCU;MX;52.003341;21.197208
336601;MOCZYDŁÓW;MX;51.998890;21.199870
336602;MOCZYDŁÓW;MX;51.999397;21.199391
336701;WYSZYŃSKIEGO;GW;51.993990;21.209750
336702;WYSZYŃSKIEGO;GW;51.994502;21.209108
336802;RYNEK;GW;51.981116;21.217036
336901;PIJARSKA;GW;51.986834;21.214063
336902;PIJARSKA;GW;51.987433;21.213856
337001;DWORCOWA;PS;52.072526;21.015895
338201;KORBOŃSKIEGO;--;52.130310;21.097900
338202;KORBOŃSKIEGO;--;52.131250;21.098810
338204;KORBOŃSKIEGO;--;52.130932;21.097210
338301;KOMPUTEROWA;--;52.176555;20.992979
338302;KOMPUTEROWA;--;52.177009;20.991542
338402;NADARZYŃSKA;PS;52.072900;21.023110
338502;BRANICKIEGO;--;52.157425;21.076150
338503;BRANICKIEGO;--;52.156997;21.077957
338601;WIECHY;OK;52.128708;21.138084
338602;WIECHY;OK;52.128631;21.138139
338702;CYRANECZKI;JS;52.101173;21.045524
338801;KU WIŚLE;--;52.212218;21.063714
338802;KU WIŚLE;--;52.212246;21.063573
339001;BYTNARA;--;52.191641;21.001623
339002;BYTNARA;--;52.192980;21.001885
339101;SARMACKA;--;52.158044;21.081376
339102;SARMACKA;--;52.157828;21.080347
339501;FARBIARSKA;--;52.122450;21.013533
339502;FARBIARSKA;--;52.122898;21.012819
339601;JEZIORKI PŁN.;--;52.123810;21.007641
339602;JEZIORKI PŁN.;--;52.123742;21.006716
339801;KÓRNICKA;--;52.124095;20.998438
339802;KÓRNICKA;--;52.123979;20.998845
339901;PKP DAWIDY;--;52.126525;20.993303
339902;PKP DAWIDY;--;52.126935;20.992545
340001;OS.KABATY;--;52.129070;21.068600
340002;OS.KABATY;--;52.129010;21.068490
340003;OS.KABATY;--;52.129400;21.068300
340004;OS.KABATY;--;52.129360;21.068160
340005;OS.KABATY;--;52.129195;21.067865
